#{"t_start": 1790414012.686654, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.002,20,1.107272,20260925,181,20,0,0,0,0,0,0,1,False,,0,0,1
-1.0013,13,1.181505,42,160,13,0,0,0,0,0,0,1,False,,0,0,1
-1.0042,42,1.28988,1000,177,42,0,0,0,0,0,0,1,False,,0,0,1
-1.0043,43,1.385677,1001,156,43,0,0,0,0,0,0,1,False,,0,0,1
-1.0022,22,1.471546,1002,166,22,0,0,0,0,0,0,1,False,,0,0,1
-1.0027,27,1.556914,1003,165,27,0,0,0,0,0,0,1,False,,0,0,1
-1.0021,21,1.638889,1004,161,21,0,0,0,0,0,0,1,False,,0,0,1
-1.0014,14,1.715381,1005,164,14,0,0,0,0,0,0,1,False,,0,0,1
-1.012627,73,1.841711,1006,166,73,0,0,0,0,0,0,1,False,,0,0,1
-1.0013,13,1.919178,1007,172,13,0,0,0,0,0,0,1,False,,0,0,1
-1.0023,23,2.007718,1008,171,23,0,0,0,0,0,0,1,False,,0,0,1
-1.0012,12,2.0901,1009,177,12,0,0,0,0,0,0,1,False,,0,0,1
-1.0034,34,2.184531,1010,163,34,0,0,0,0,0,0,1,False,,0,0,1
-0.207891,2224,4.669045,1011,176,2224,0,0,0,0,0,1,0,False,比赛时间结束(手动模式),0,11,0
-1.0015,15,4.746032,1012,159,15,0,0,0,0,0,0,1,False,,0,0,1
-1.024618,267,5.024681,1013,166,267,0,0,0,0,0,0,1,False,,0,0,1
-0.1822,2219,7.50034,1014,181,2219,0,0,0,0,0,1,0,False,比赛时间结束(手动模式),0,2,0
-1.025352,194,7.735412,1015,182,194,0,0,0,0,0,0,1,False,,0,0,1
-1.0024,24,7.823638,1016,177,24,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,8.603098,1017,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,4
-1.0005,5,8.668785,1018,165,5,0,0,0,0,0,0,1,False,,0,0,1
-1.010725,102,8.811211,1019,170,102,0,0,0,0,0,0,1,False,,0,0,1
-1.006,60,8.916771,1020,155,60,0,0,0,0,0,0,1,False,,0,0,1
-1.003208,276,9.189619,1021,152,276,0,0,0,0,0,0,1,False,,0,0,1
-1.0019,19,9.268569,1022,172,19,0,0,0,0,0,0,1,False,,0,0,1
1.038241,263,9.5383,1023,165,263,0,1,1,0,0,0,0,False,,0,3,0
-1.109033,1333,11.916869,1024,157,1333,0,0,0,0,0,0,1,False,,0,0,1
-1.0015,15,11.992452,1025,164,15,0,0,0,0,0,0,1,False,,0,0,1
-1.0013,13,12.065514,1026,162,13,0,0,0,0,0,0,1,False,,0,0,1
-1.001395,31,12.153741,1027,166,31,0,0,0,0,0,0,1,False,,0,0,1
1.043448,214,12.384566,1028,181,214,0,1,1,0,0,0,0,False,,0,3,0
