#{"t_start": 1790417062.4237332, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.002,20,1.025081,20260925,181,20,0,0,0,0,0,0,1,False,,0,0,1
-1.0013,13,1.098341,42,160,13,0,0,0,0,0,0,1,False,,0,0,1
-1.0042,42,1.203994,1000,177,42,0,0,0,0,0,0,1,False,,0,0,1
-1.0043,43,1.300163,1001,156,43,0,0,0,0,0,0,1,False,,0,0,1
-1.0022,22,1.38865,1002,166,22,0,0,0,0,0,0,1,False,,0,0,1
-1.0027,27,1.477295,1003,165,27,0,0,0,0,0,0,1,False,,0,0,1
-1.0021,21,1.556828,1004,161,21,0,0,0,0,0,0,1,False,,0,0,1
-1.0014,14,1.628356,1005,164,14,0,0,0,0,0,0,1,False,,0,0,1
-1.012627,73,1.749773,1006,166,73,0,0,0,0,0,0,1,False,,0,0,1
-1.0013,13,1.826493,1007,172,13,0,0,0,0,0,0,1,False,,0,0,1
-1.0023,23,1.91365,1008,171,23,0,0,0,0,0,0,1,False,,0,0,1
-1.0012,12,1.994233,1009,177,12,0,0,0,0,0,0,1,False,,0,0,1
-1.0034,34,2.087634,1010,163,34,0,0,0,0,0,0,1,False,,0,0,1
-0.207891,2224,4.748022,1011,176,2224,0,0,0,0,0,1,0,False,比赛时间结束(手动模式),0,11,0
-1.0015,15,4.822417,1012,159,15,0,0,0,0,0,0,1,False,,0,0,1
-1.024618,267,5.09809,1013,166,267,0,0,0,0,0,0,1,False,,0,0,1
-0.1822,2219,7.86352,1014,181,2219,0,0,0,0,0,1,0,False,比赛时间结束(手动模式),0,2,0
-1.025352,194,8.084586,1015,182,194,0,0,0,0,0,0,1,False,,0,0,1
-1.0024,24,8.166459,1016,177,24,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,8.917027,1017,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,4
-1.0005,5,8.98107,1018,165,5,0,0,0,0,0,0,1,False,,0,0,1
-1.010725,102,9.126244,1019,170,102,0,0,0,0,0,0,1,False,,0,0,1
-1.006,60,9.239944,1020,155,60,0,0,0,0,0,0,1,False,,0,0,1
-1.003208,276,9.563735,1021,152,276,0,0,0,0,0,0,1,False,,0,0,1
-1.0019,19,9.645085,1022,172,19,0,0,0,0,0,0,1,False,,0,0,1
1.038241,263,9.942151,1023,165,263,0,1,1,0,0,0,0,False,,0,3,0
-1.109033,1333,12.483925,1024,157,1333,0,0,0,0,0,0,1,False,,0,0,1
-1.0015,15,12.562199,1025,164,15,0,0,0,0,0,0,1,False,,0,0,1
-1.0013,13,12.63735,1026,162,13,0,0,0,0,0,0,1,False,,0,0,1
-1.001395,31,12.72504,1027,166,31,0,0,0,0,0,0,1,False,,0,0,1
1.043448,214,12.962176,1028,181,214,0,1,1,0,0,0,0,False,,0,3,0
-0.2237,2237,15.721638,1029,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,11,0
-1.007195,52,15.829093,1030,167,52,0,0,0,0,0,0,1,False,,0,0,1
-1.0025,25,15.913587,1031,189,25,0,0,0,0,0,0,1,False,,0,0,4
-1.006416,45,16.012077,1032,176,45,0,0,0,0,0,0,1,False,,0,0,1
-1.009933,61,16.12356,1033,167,61,0,0,0,0,0,0,1,False,,0,2,0
-1.00694,50,16.220197,1034,167,50,0,0,0,0,0,0,1,False,,0,0,1
-1.005841,23,16.302094,1035,164,23,0,0,0,0,0,0,1,False,,0,0,1
-1.0017,17,16.375032,1036,160,17,0,0,0,0,0,0,1,False,,0,0,1
-1.0056,56,16.480685,1037,167,56,0,0,0,0,0,0,1,False,,0,0,1
-1.001,10,16.550086,1038,166,10,0,0,0,0,0,0,1,False,,0,0,1
-1.001,10,16.619844,1039,172,10,0,0,0,0,0,0,1,False,,0,0,1
-1.007488,552,18.178108,1040,166,552,0,0,0,0,0,0,1,False,,0,0,1
-1.0019,19,18.252026,1041,155,19,0,0,0,0,0,0,1,False,,0,0,1
-1.012055,130,18.393421,1042,168,130,0,0,0,0,0,0,1,False,,0,2,0
0.0,1,18.711112,1043,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,4
-1.0227,102,18.849135,1044,163,102,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,19.550279,1045,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,12
-0.223763,2223,22.08837,1046,177,2223,0,0,0,0,0,1,0,False,比赛时间结束(手动模式),0,11,0
-1.0012,12,22.168156,1047,159,12,0,0,0,0,0,0,1,False,,0,0,1
-0.454668,194,22.39093,1048,163,194,0,0,0,0,1,1,0,False,,0,0,0
-1.0014,14,22.462022,1049,155,14,0,0,0,0,0,0,1,False,,0,0,1
-0.964474,115,22.620766,1050,177,115,0,0,0,0,0,0,1,False,,0,0,1
-1.0095,95,22.7611,1051,168,95,0,0,0,0,0,0,1,False,,0,0,1
-1.0014,14,22.83846,1052,172,14,0,0,0,0,0,0,1,False,,0,0,1
-1.0022,22,22.928275,1053,181,22,0,0,0,0,0,0,1,False,,0,0,1
-1.0008,8,22.999844,1054,170,8,0,0,0,0,0,0,1,False,,0,0,1
-1.029104,303,23.282655,1055,166,303,0,0,0,0,0,0,1,False,,0,1,1
-1.0068,68,23.400928,1056,167,68,0,0,0,0,0,0,1,False,,0,0,1
-1.006177,47,23.495085,1057,160,47,0,0,0,0,0,0,1,False,,0,0,1
-1.020005,150,23.668103,1058,165,150,0,0,0,0,0,0,1,False,,0,0,1
-1.015284,138,24.974403,1059,181,138,0,0,0,0,0,0,1,False,,0,0,1
-1.00556,32,25.175426,1060,243,32,0,0,0,0,0,0,1,False,,0,0,4
-1.072531,748,25.751796,1061,164,748,0,0,0,0,0,0,1,False,,0,2,0
-1.003,30,25.837871,1062,167,30,0,0,0,0,0,0,1,False,,0,0,1
-0.181335,2219,28.670941,1063,181,2219,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,10,3
-1.0027,27,28.754195,1064,165,27,0,0,0,0,0,0,1,False,,0,0,1
1.043614,211,28.980771,1065,164,211,0,1,1,0,0,0,0,False,,0,3,0
