rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction
27.46153846153846,793,2048,2,-1.0031559230769231,1,,,,,,,,,,,
178.9375,787,4096,5,-0.95468975,2,1.0009546279907227,0.0003,-2.8377901926636695,0.009469772,-0.3666105270385742,0.010083222761750221,0.2,-0.00991928537550848,0.038990597987140066,10,0.1015625
231.76923076923077,664,6144,9,-0.825733846153846,3,0.9984244108200073,0.0003,-2.8368673264980315,0.004065724,0.8611027002334595,0.004236753098666668,0.2,-0.002637431561743142,0.003926353092538193,20,0.02236328125
246.19354838709677,647,8192,12,-0.7915761290322579,4,0.9987955093383789,0.0003,-2.833886793255806,0.009265414,0.460219144821167,-0.018417995423078537,0.2,-0.009163603466004134,0.022493841277901085,30,0.096240234375
243.28571428571428,645,10240,15,-0.8288258333333334,5,0.9844794273376465,0.0003,-2.820944733917713,0.006612302,0.8574778437614441,-0.006656539626419544,0.2,-0.005065495437884237,0.012243666964786825,40,0.06357421875
229.64583333333334,623,12288,19,-0.8094755833333332,6,0.9738211631774902,0.0003,-2.7931921914219857,0.006671856,0.9055452346801758,0.02035696990787983,0.2,-0.004544418174918974,0.010917441350466106,50,0.044140625
234.2295081967213,625,14336,22,-0.8291199836065573,7,0.9664342403411865,0.0003,-2.7765719518065453,0.005042282,0.606020450592041,-0.013198141008615494,0.2,-0.0036118670170253607,0.012394820371628156,60,0.05146484375
234.4,631,16384,25,-0.8411183692307693,8,0.948508620262146,0.0003,-2.750809270888567,0.008019578,0.4433431029319763,-0.0010626167058944702,0.2,-0.004596073604625417,0.02169973010313697,70,0.057177734375
243.6081081081081,632,18432,29,-0.8220069594594595,9,0.9520781636238098,0.0003,-2.733688361942768,0.005358084,0.451119065284729,0.015458165667951107,0.2,-0.005245793622452766,0.009981627560046035,80,0.076611328125
270.18666666666667,642,20480,31,-0.8140264266666667,10,0.9518240690231323,0.0003,-2.7380395315587522,0.005728803,0.7200405597686768,-0.014762877486646175,0.2,-0.006354707309219521,0.014084356394596398,90,0.075390625
277.6125,650,22528,34,-0.8281872,11,0.948692798614502,0.0003,-2.7354824647307394,0.0057498775,0.9472112655639648,-0.023376720026135445,0.2,-0.004637154951342382,0.0002756113057444054,100,0.055908203125
301.6296296296296,663,24576,37,-0.8206623209876542,12,0.948622465133667,0.0003,-2.7288469187915325,0.0071401703,0.5771628022193909,-0.0035629412159323692,0.2,-0.007822075205331203,0.009375145880767377,110,0.07177734375
274.29896907216494,638,26624,41,-0.7776779072164949,13,0.9412742257118225,0.0003,-2.7242456413805485,0.006667993,0.09105944633483887,-0.04513806477189064,0.2,-0.007980054256040602,0.00043501682080204773,120,0.04873046875
275.25,643,28672,44,-0.77457052,14,0.9301251173019409,0.0003,-2.7014417380094526,0.006562358,0.4153628349304199,0.030383124947547913,0.2,-0.003821957179388846,0.026954132206446955,130,0.06103515625
297.42,652,30720,47,-0.7670510499999998,15,0.9084906578063965,0.0003,-2.6638269312679768,0.003707205,0.7869129776954651,-0.024059254676103592,0.2,-0.0033283955250226426,0.004233613120504742,140,0.03984375
324.22,654,32768,50,-0.7539032200000001,16,0.9053611755371094,0.0003,-2.641066038608551,0.0053241467,0.9225996732711792,-0.0040902504697442055,0.2,-0.005576005985494703,0.00039712498651169883,150,0.0451171875
315.0,657,34816,52,-0.7416383599999999,17,0.9147512912750244,0.0003,-2.6457440830767154,0.0065498683,0.7445892095565796,0.027566149830818176,0.2,-0.006552675252896734,0.010100420270464382,160,0.07626953125
315.15,662,36864,55,-0.7420741099999998,18,0.9227199554443359,0.0003,-2.6661042593419553,0.005782972,0.47143489122390747,0.001391880214214325,0.2,-0.003923988598398864,0.023551462500472554,170,0.05166015625
335.59,666,38912,58,-0.7335206299999999,19,0.9159541130065918,0.0003,-2.6652679473161696,0.014136134,0.877456784248352,-0.023518016561865807,0.2,-0.00984538594238984,0.0011147140335879158,180,0.12890625
343.31,670,40960,61,-0.7442830599999999,20,0.9161046743392944,0.0003,-2.6582890450954437,0.00439692,0.6106611490249634,-0.020927248522639275,0.2,-0.004384198653860949,0.0017536631821712945,190,0.0435546875
327.38,659,43008,65,-0.7740948900000001,21,0.9217686653137207,0.0003,-2.665498846769333,0.004483358,0.5173285603523254,0.0016467006644234061,0.2,-0.00018824142098310402,0.005610788649119058,200,0.022705078125
327.26,656,45056,68,-0.73321505,22,0.9163218140602112,0.0003,-2.6658912979066374,0.0038012117,0.4780014753341675,0.003952912986278534,0.2,-0.0015115906164282933,0.01960905789601384,210,0.02255859375
349.32,659,47104,71,-0.7254573200000002,23,0.9083994626998901,0.0003,-2.653708241134882,0.0050315913,0.6949188113212585,0.013619770295917988,0.2,-0.005002811575104715,0.007733187211488257,220,0.054248046875
370.76,658,49152,74,-0.72696168,24,0.914478063583374,0.0003,-2.652207475155592,0.004073128,0.9400736689567566,0.004035323858261108,0.2,-0.0036772235223907048,0.00038732533554366457,230,0.034375
378.38,662,51200,77,-0.73767431,25,0.91392982006073,0.0003,-2.658209013193846,0.007593358,0.85099858045578,0.021429389715194702,0.2,-0.006079910788685083,0.0042974934497578944,240,0.0650390625
378.38,667,53248,79,-0.73767431,26,0.921366810798645,0.0003,-2.665811648964882,0.0075138425,0.7490944862365723,-0.0022290456108748913,0.2,-0.004547584285319317,0.00862932430645742,250,0.071044921875
406.69,668,55296,82,-0.7196971499999999,27,0.9270075559616089,0.0003,-2.6804172322154045,0.0049560596,0.20638424158096313,-0.0241742841899395,0.2,-0.0008824082222417928,2.8438948394438057e-05,260,0.041650390625
427.78,671,57344,85,-0.7113027399999998,28,0.9393267631530762,0.0003,-2.6999132998287676,0.0064181476,0.3597719073295593,-0.011692697182297707,0.2,-0.004391228580789175,0.012744443409246742,270,0.061181640625
447.12,674,59392,88,-0.6928568099999999,29,0.9451528787612915,0.0003,-2.719709561765194,0.007233453,0.4159923195838928,-0.0052290745079517365,0.2,-0.006203015778010012,0.003913702331738022,280,0.08212890625
