trial,value,params,block_scores,drops,recover_limit_ends,mount_t,final_scores
0,-48.0,"{""MOUNT_SPEED"": 870, ""IR_TRIGGER"": 0.7679642991664456, ""FALL_THRESHOLD"": 315, ""EDGE_THRESHOLD"": 540, ""RECOVER_LIMIT"": 2}",0,8,4,"[29.0, 29.0, 29.0, 29.0]","[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, 0.0]]"
1,0.0,"{""MOUNT_SPEED"": 650, ""IR_TRIGGER"": 0.18775434790932966, ""FALL_THRESHOLD"": 360, ""EDGE_THRESHOLD"": 540, ""RECOVER_LIMIT"": 6}",0,0,0,[],"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
2,-36.0,"{""MOUNT_SPEED"": 520, ""IR_TRIGGER"": 0.7804414039052964, ""FALL_THRESHOLD"": 350, ""EDGE_THRESHOLD"": 290, ""RECOVER_LIMIT"": 2}",0,16,2,"[52.0, 52.0, 52.0, 52.0]","[[2.0, 1.0], [0.0, 0.0], [7.0, 1.0], [7.0, 1.0]]"
3,-17.0,"{""MOUNT_SPEED"": 680, ""IR_TRIGGER"": 0.3477574579236995, ""FALL_THRESHOLD"": 250, ""EDGE_THRESHOLD"": 430, ""RECOVER_LIMIT"": 3}",1,8,1,"[41.0, 41.0, 41.0, 41.0]","[[1.0, 3.0], [7.0, 4.0], [4.0, 4.0], [0.0, 6.0]]"
4,-32.0,"{""MOUNT_SPEED"": 1110, ""IR_TRIGGER"": 0.2406710094238272, ""FALL_THRESHOLD"": 170, ""EDGE_THRESHOLD"": 390, ""RECOVER_LIMIT"": 4}",0,22,1,"[20.0, 20.0, 20.0, 20.0]","[[0.0, 1.0], [0.0, 5.0], [3.0, 8.0], [0.0, 1.0]]"
5,-13.0,"{""MOUNT_SPEED"": 1290, ""IR_TRIGGER"": 0.2797879584029338, ""FALL_THRESHOLD"": 245, ""EDGE_THRESHOLD"": 540, ""RECOVER_LIMIT"": 1}",1,14,0,"[11.0, 11.0, 11.0, 11.0]","[[3.0, 1.0], [3.0, 1.0], [3.0, 1.0], [5.0, 6.0]]"
6,-63.0,"{""MOUNT_SPEED"": 1110, ""IR_TRIGGER"": 0.26084068039673947, ""FALL_THRESHOLD"": 100, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 8}",4,67,0,"[20.0, 20.0, 20.0, 20.0]","[[5.0, 22.0], [5.0, 18.0], [5.0, 17.0], [8.0, 0.0]]"
7,-32.0,"{""MOUNT_SPEED"": 1310, ""IR_TRIGGER"": 0.347998949962691, ""FALL_THRESHOLD"": 110, ""EDGE_THRESHOLD"": 600, ""RECOVER_LIMIT"": 4}",0,32,0,"[12.0, 12.0, 12.0, 12.0]","[[2.0, 12.0], [5.0, 11.0], [0.0, 10.0], [0.0, 9.0]]"
8,-4.0,"{""MOUNT_SPEED"": 620, ""IR_TRIGGER"": 0.47186499157232564, ""FALL_THRESHOLD"": 90, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 3}",4,8,0,"[41.0, 41.0, 41.0, 41.0]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]"
9,-48.0,"{""MOUNT_SPEED"": 1160, ""IR_TRIGGER"": 0.3526121994581171, ""FALL_THRESHOLD"": 245, ""EDGE_THRESHOLD"": 510, ""RECOVER_LIMIT"": 2}",0,8,4,"[19.0, 19.0, 19.0, 19.0]","[[0.0, 6.0], [0.0, 6.0], [0.0, 6.0], [0.0, 6.0]]"
10,-8.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.5861797552643303, ""FALL_THRESHOLD"": 355, ""EDGE_THRESHOLD"": 600, ""RECOVER_LIMIT"": 8}",0,8,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 4.0], [0.0, 0.0], [0.0, 0.0]]"
11,0.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.3016422630536888, ""FALL_THRESHOLD"": 230, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 3}",0,0,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
12,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.19627517753870788, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 700, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
13,0.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.25196026826624396, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 7}",0,0,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
14,-52.0,"{""MOUNT_SPEED"": 560, ""IR_TRIGGER"": 0.1921287104428251, ""FALL_THRESHOLD"": 340, ""EDGE_THRESHOLD"": 480, ""RECOVER_LIMIT"": 4}",0,12,4,"[52.0, 52.0, 52.0, 52.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
15,-52.0,"{""MOUNT_SPEED"": 760, ""IR_TRIGGER"": 0.3406796355939469, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 580, ""RECOVER_LIMIT"": 6}",0,12,4,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 2.0], [0.0, 2.0], [0.0, 2.0], [0.0, 2.0]]"
16,-42.0,"{""MOUNT_SPEED"": 890, ""IR_TRIGGER"": 0.1615447551136282, ""FALL_THRESHOLD"": 325, ""EDGE_THRESHOLD"": 480, ""RECOVER_LIMIT"": 6}",2,44,0,"[25.0, 25.0, 25.0, 25.0]","[[2.0, 8.0], [4.0, 8.0], [4.0, 7.0], [3.0, 5.0]]"
17,-46.0,"{""MOUNT_SPEED"": 570, ""IR_TRIGGER"": 0.2659148059110086, ""FALL_THRESHOLD"": 400, ""EDGE_THRESHOLD"": 620, ""RECOVER_LIMIT"": 4}",0,6,4,"[51.0, 51.0, 51.0, 51.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
18,-19.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.15767075336393388, ""FALL_THRESHOLD"": 400, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 7}",2,21,0,"[36.0, 36.0, 36.0, 36.0]","[[2.0, 0.0], [5.0, 0.0], [4.0, 0.0], [5.0, 0.0]]"
19,-40.0,"{""MOUNT_SPEED"": 820, ""IR_TRIGGER"": 0.32722015034123964, ""FALL_THRESHOLD"": 365, ""EDGE_THRESHOLD"": 530, ""RECOVER_LIMIT"": 5}",2,32,1,"[27.0, 27.0, 27.0, 27.0]","[[7.0, 3.0], [1.0, 0.0], [0.0, 0.0], [4.0, 0.0]]"
